score,Y_value,Z_value
6.0,-2765.0,840.0
6.0,-2775.0,840.0
3.0,-2785.0,840.0
3.0,-3035.0,850.0
3.0,-2845.0,890.0
8.0,-2835.0,890.0
7.0,-2825.0,890.0
5.0,-2815.0,890.0
3.0,-2805.0,890.0
6.0,-2295.0,900.0
5.0,-2305.0,900.0
3.0,-2975.0,940.0
5.0,-2985.0,940.0
4.0,-2995.0,940.0
6.0,-2995.0,950.0
10.0,-2985.0,950.0
6.0,-2975.0,950.0
3.0,-2425.0,960.0
3.0,-3165.0,970.0
3.0,-3035.0,970.0
6.0,-2775.0,970.0
6.0,-2765.0,970.0
4.0,-2435.0,970.0
10.0,-2425.0,970.0
8.0,-2415.0,970.0
6.0,-2405.0,970.0
4.0,-2405.0,980.0
4.0,-2415.0,980.0
7.0,-2425.0,980.0
6.0,-2435.0,980.0
3.0,-2445.0,980.0
3.0,-2455.0,980.0
3.0,-2625.0,980.0
5.0,-2635.0,980.0
7.0,-2765.0,980.0
10.0,-2775.0,980.0
4.0,-3025.0,980.0
4.0,-3035.0,980.0
3.0,-3045.0,980.0
3.0,-2845.0,990.0
3.0,-2425.0,990.0
3.0,-2405.0,990.0
4.0,-2715.0,1000.0
3.0,-3125.0,1040.0
3.0,-3135.0,1050.0
5.0,-3125.0,1050.0
4.0,-3115.0,1050.0
4.0,-2715.0,1050.0
3.0,-2615.0,1050.0
4.0,-2525.0,1050.0
3.0,-2515.0,1050.0
3.0,-2615.0,1060.0
3.0,-3095.0,1070.0
3.0,-2805.0,1120.0
3.0,-2555.0,1130.0
6.0,-2545.0,1130.0
6.0,-2535.0,1130.0
3.0,-2525.0,1130.0
3.0,-2525.0,1140.0
10.0,-2535.0,1140.0
13.0,-2545.0,1140.0
6.0,-2555.0,1140.0
3.0,-2555.0,1150.0
4.0,-2545.0,1150.0
7.0,-2535.0,1150.0
9.0,-2545.0,1160.0
3.0,-2985.0,1160.0
11.0,-2545.0,1170.0
19.0,-2535.0,1170.0
11.0,-2525.0,1170.0
3.0,-2535.0,1190.0
3.0,-2525.0,1190.0
4.0,-2515.0,1190.0
3.0,-3005.0,1210.0
3.0,-3005.0,1220.0
4.0,-3015.0,1220.0
3.0,-2305.0,1240.0
3.0,-3045.0,1260.0
3.0,-3055.0,1260.0
3.0,-2415.0,1280.0
3.0,-2425.0,1280.0
4.0,-2605.0,1280.0
4.0,-2615.0,1280.0
4.0,-2625.0,1280.0
11.0,-2745.0,1280.0
10.0,-2755.0,1280.0
6.0,-2765.0,1280.0
3.0,-3065.0,1280.0
4.0,-2585.0,1290.0
7.0,-2575.0,1290.0
5.0,-2565.0,1290.0
4.0,-2365.0,1300.0
4.0,-2375.0,1300.0
3.0,-2385.0,1300.0
3.0,-2495.0,1300.0
3.0,-2505.0,1300.0
3.0,-2565.0,1300.0
4.0,-2575.0,1300.0
3.0,-2585.0,1300.0
3.0,-2675.0,1300.0
3.0,-2685.0,1300.0
4.0,-3205.0,1310.0
3.0,-3195.0,1310.0
4.0,-2375.0,1310.0
5.0,-2365.0,1310.0
4.0,-2375.0,1330.0
3.0,-2365.0,1330.0
3.0,-2395.0,1350.0
4.0,-2385.0,1350.0
4.0,-2375.0,1350.0
3.0,-2365.0,1350.0
6.0,-2385.0,1360.0
9.0,-2395.0,1360.0
7.0,-2405.0,1360.0
4.0,-2415.0,1360.0
4.0,-2915.0,1360.0
5.0,-2925.0,1360.0
4.0,-2355.0,1370.0
3.0,-2345.0,1370.0
3.0,-2335.0,1370.0
3.0,-2405.0,1380.0
5.0,-2635.0,1390.0
6.0,-2625.0,1390.0
6.0,-2615.0,1390.0
9.0,-2605.0,1390.0
4.0,-2595.0,1390.0
10.0,-2615.0,1400.0
17.0,-2625.0,1400.0
13.0,-2635.0,1400.0
7.0,-2645.0,1400.0
3.0,-2655.0,1400.0
3.0,-2875.0,1400.0
3.0,-2645.0,1410.0
7.0,-2635.0,1410.0
3.0,-2625.0,1410.0
3.0,-2625.0,1420.0
3.0,-2635.0,1420.0
3.0,-2545.0,1470.0
3.0,-2815.0,1490.0
3.0,-2805.0,1490.0
23.0,-2935.0,1500.0
27.0,-2945.0,1500.0
3.0,-2955.0,1500.0
4.0,-2595.0,1510.0
3.0,-2415.0,1510.0
4.0,-2405.0,1510.0
3.0,-2405.0,1520.0
5.0,-2595.0,1520.0
3.0,-2545.0,1560.0
3.0,-2965.0,1590.0
3.0,-2995.0,1600.0
3.0,-2365.0,1620.0
3.0,-2675.0,1620.0
3.0,-2795.0,1620.0
10.0,-2805.0,1620.0
6.0,-2815.0,1620.0
7.0,-2825.0,1620.0
18.0,-3235.0,1630.0
23.0,-3225.0,1630.0
22.0,-3215.0,1630.0
27.0,-3205.0,1630.0
26.0,-3195.0,1630.0
25.0,-3185.0,1630.0
16.0,-3175.0,1630.0
16.0,-3165.0,1630.0
8.0,-3155.0,1630.0
5.0,-3145.0,1630.0
11.0,-3135.0,1630.0
8.0,-3125.0,1630.0
5.0,-3115.0,1630.0
9.0,-3105.0,1630.0
12.0,-3095.0,1630.0
14.0,-3085.0,1630.0
9.0,-3075.0,1630.0
3.0,-3065.0,1630.0
3.0,-3055.0,1630.0
4.0,-3045.0,1630.0
4.0,-3025.0,1630.0
6.0,-3015.0,1630.0
6.0,-3005.0,1630.0
11.0,-2995.0,1630.0
8.0,-2985.0,1630.0
9.0,-2975.0,1630.0
5.0,-2965.0,1630.0
13.0,-2955.0,1630.0
5.0,-2945.0,1630.0
10.0,-2935.0,1630.0
11.0,-2925.0,1630.0
9.0,-2915.0,1630.0
8.0,-2905.0,1630.0
7.0,-2895.0,1630.0
16.0,-2885.0,1630.0
17.0,-2875.0,1630.0
20.0,-2865.0,1630.0
19.0,-2855.0,1630.0
25.0,-2845.0,1630.0
25.0,-2835.0,1630.0
35.0,-2825.0,1630.0
45.0,-2815.0,1630.0
48.0,-2805.0,1630.0
45.0,-2795.0,1630.0
50.0,-2785.0,1630.0
35.0,-2775.0,1630.0
68.0,-2765.0,1630.0
48.0,-2755.0,1630.0
56.0,-2745.0,1630.0
82.0,-2735.0,1630.0
87.0,-2725.0,1630.0
66.0,-2715.0,1630.0
74.0,-2705.0,1630.0
103.0,-2695.0,1630.0
107.0,-2685.0,1630.0
107.0,-2675.0,1630.0
98.0,-2665.0,1630.0
80.0,-2655.0,1630.0
90.0,-2645.0,1630.0
76.0,-2635.0,1630.0
102.0,-2625.0,1630.0
78.0,-2615.0,1630.0
81.0,-2605.0,1630.0
70.0,-2595.0,1630.0
107.0,-2585.0,1630.0
80.0,-2575.0,1630.0
71.0,-2565.0,1630.0
78.0,-2555.0,1630.0
73.0,-2545.0,1630.0
99.0,-2535.0,1630.0
82.0,-2525.0,1630.0
75.0,-2515.0,1630.0
101.0,-2505.0,1630.0
89.0,-2495.0,1630.0
83.0,-2485.0,1630.0
94.0,-2475.0,1630.0
97.0,-2465.0,1630.0
100.0,-2455.0,1630.0
94.0,-2445.0,1630.0
108.0,-2435.0,1630.0
120.0,-2425.0,1630.0
111.0,-2415.0,1630.0
77.0,-2405.0,1630.0
74.0,-2395.0,1630.0
67.0,-2385.0,1630.0
76.0,-2375.0,1630.0
101.0,-2365.0,1630.0
89.0,-2355.0,1630.0
103.0,-2345.0,1630.0
82.0,-2335.0,1630.0
85.0,-2325.0,1630.0
79.0,-2315.0,1630.0
63.0,-2305.0,1630.0
66.0,-2295.0,1630.0
99.0,-2285.0,1630.0
15.0,-2285.0,1640.0
16.0,-2295.0,1640.0
11.0,-2305.0,1640.0
15.0,-2315.0,1640.0
19.0,-2325.0,1640.0
15.0,-2335.0,1640.0
15.0,-2345.0,1640.0
12.0,-2355.0,1640.0
17.0,-2365.0,1640.0
16.0,-2375.0,1640.0
16.0,-2385.0,1640.0
15.0,-2395.0,1640.0
11.0,-2405.0,1640.0
9.0,-2415.0,1640.0
11.0,-2425.0,1640.0
8.0,-2435.0,1640.0
15.0,-2445.0,1640.0
14.0,-2455.0,1640.0
13.0,-2465.0,1640.0
11.0,-2475.0,1640.0
13.0,-2485.0,1640.0
14.0,-2495.0,1640.0
14.0,-2505.0,1640.0
17.0,-2515.0,1640.0
15.0,-2525.0,1640.0
13.0,-2535.0,1640.0
19.0,-2545.0,1640.0
19.0,-2555.0,1640.0
22.0,-2565.0,1640.0
21.0,-2575.0,1640.0
9.0,-2585.0,1640.0
14.0,-2595.0,1640.0
12.0,-2605.0,1640.0
17.0,-2615.0,1640.0
18.0,-2625.0,1640.0
15.0,-2635.0,1640.0
15.0,-2645.0,1640.0
16.0,-2655.0,1640.0
13.0,-2665.0,1640.0
9.0,-2675.0,1640.0
13.0,-2685.0,1640.0
16.0,-2695.0,1640.0
8.0,-2705.0,1640.0
10.0,-2715.0,1640.0
9.0,-2725.0,1640.0
17.0,-2735.0,1640.0
14.0,-2745.0,1640.0
18.0,-2755.0,1640.0
25.0,-2765.0,1640.0
21.0,-2775.0,1640.0
18.0,-2785.0,1640.0
15.0,-2795.0,1640.0
19.0,-2805.0,1640.0
30.0,-2815.0,1640.0
26.0,-2825.0,1640.0
32.0,-2835.0,1640.0
48.0,-2845.0,1640.0
33.0,-2855.0,1640.0
39.0,-2865.0,1640.0
33.0,-2875.0,1640.0
33.0,-2885.0,1640.0
54.0,-2895.0,1640.0
55.0,-2905.0,1640.0
53.0,-2915.0,1640.0
74.0,-2925.0,1640.0
65.0,-2935.0,1640.0
60.0,-2945.0,1640.0
59.0,-2955.0,1640.0
61.0,-2965.0,1640.0
56.0,-2975.0,1640.0
55.0,-2985.0,1640.0
64.0,-2995.0,1640.0
56.0,-3005.0,1640.0
59.0,-3015.0,1640.0
74.0,-3025.0,1640.0
73.0,-3035.0,1640.0
59.0,-3045.0,1640.0
90.0,-3055.0,1640.0
65.0,-3065.0,1640.0
72.0,-3075.0,1640.0
53.0,-3085.0,1640.0
46.0,-3095.0,1640.0
50.0,-3105.0,1640.0
55.0,-3115.0,1640.0
45.0,-3125.0,1640.0
55.0,-3135.0,1640.0
58.0,-3145.0,1640.0
39.0,-3155.0,1640.0
43.0,-3165.0,1640.0
45.0,-3175.0,1640.0
52.0,-3185.0,1640.0
45.0,-3195.0,1640.0
43.0,-3205.0,1640.0
39.0,-3215.0,1640.0
38.0,-3225.0,1640.0
6.0,-3235.0,1650.0
6.0,-3225.0,1650.0
6.0,-3215.0,1650.0
6.0,-3205.0,1650.0
4.0,-3195.0,1650.0
3.0,-3185.0,1650.0
4.0,-3175.0,1650.0
6.0,-3155.0,1650.0
3.0,-3145.0,1650.0
7.0,-3135.0,1650.0
4.0,-3125.0,1650.0
3.0,-3115.0,1650.0
6.0,-3105.0,1650.0
5.0,-3095.0,1650.0
9.0,-3075.0,1650.0
4.0,-3065.0,1650.0
9.0,-3055.0,1650.0
10.0,-3045.0,1650.0
12.0,-3035.0,1650.0
4.0,-3025.0,1650.0
4.0,-3015.0,1650.0
8.0,-3005.0,1650.0
7.0,-2995.0,1650.0
8.0,-2985.0,1650.0
8.0,-2975.0,1650.0
6.0,-2965.0,1650.0
5.0,-2955.0,1650.0
6.0,-2945.0,1650.0
4.0,-2935.0,1650.0
3.0,-2925.0,1650.0
7.0,-2915.0,1650.0
3.0,-2905.0,1650.0
4.0,-2895.0,1650.0
8.0,-2885.0,1650.0
5.0,-2875.0,1650.0
4.0,-2865.0,1650.0
